Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,groupe d'enfants
94069,3034885.949,08:06:34:671,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,-,-,3.7560,3.7610,913.6735711248393,385.069228898913,932.0951272886949,384.9375169947496,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
41377,3034945.543,08:06:34:730,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,13,9,3.9083,3.6650,749.2896643022237,358.89816210901154,763.1058314251154,365.2110578246695,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,
41380,3035064.929,08:06:34:850,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,61,57,3.5099,4.1877,725.2733680485973,365.87648361515517,737.1768897933098,364.31617584113945,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,
94078,3035144.661,08:06:34:930,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,61,57,3.8978,3.9014,608.0254613495977,352.66043929187776,616.9531026581321,349.82002397792763,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
41386,3035243.938,08:06:35:029,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,59,59,4.0325,4.2757,616.9824589628823,362.76132103433224,626.2424535973522,356.8759666742124,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,
41389,3035303.694,08:06:35:089,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,59,59,4.0988,4.2144,626.2916760627384,365.8289598356248,633.3159082323203,366.294531915027,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,
94087,3035383.184,08:06:35:168,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,62,58,4.1801,4.2701,631.2718211428277,372.39308451705676,645.3201006264833,369.9109922625954,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
94090,3035442.81,08:06:35:228,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,62,58,4.1792,4.3005,629.1894493332372,380.16741099525905,641.8651234738115,376.6266478806284,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
94093,3035522.419,08:06:35:307,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,60,60,4.0477,4.2967,640.0315269350938,389.0718140107552,645.3743320401161,376.2956403347479,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
94096,3035582.053,08:06:35:367,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,60,60,4.3276,4.2756,641.7942781647113,389.8195862361997,642.1954167895584,379.06734480705916,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
41404,3035641.823,08:06:35:427,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,60,60,4.2039,4.3821,641.9022437124069,391.03598929360993,652.4857258084797,378.06534099337165,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,
94102,3035721.304,08:06:35:506,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,60,60,4.3334,4.3300,638.6453465158003,387.1148922433921,651.9553189228012,378.63094807514557,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
41410,3035820.806,08:06:35:606,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,60,60,4.4631,4.4018,639.5514908619969,384.4383387727935,645.9678450217306,387.66685787073874,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,
94108,3035900.307,08:06:35:685,Trial001,01vnvg151201b1.avi,15,Gainsboro,54.3677,Eye,61,61,4.4711,4.3935,638.1134535777448,388.80398248821064,645.7669927891668,386.3658805935635,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,TS
