Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,groupe d'enfants,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
908,2364366.509,13:46:57:725,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.6136,3.4933,757.5977143998933,571.2283899035149,717.7890138514688,574.2893277671056,-,-,0.0356,0.0329,-0.9988,-0.0562,0.0264,-0.9981,0,-,-,-,-,-,-,-,-,,,,,,,
912,2364433.281,13:46:57:791,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.6406,3.5414,757.8144559970779,570.4252503403156,721.0850016947236,576.4032663624225,-,-,0.0274,0.0365,-0.999,-0.0348,0.04,-0.9986,0,-,-,-,-,-,-,-,-,,,,,,,
916,2364500.054,13:46:57:858,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.6633,3.5527,760.7578759874925,572.2574897288505,725.3925465564447,572.4538306853352,-,-,0.0228,0.0275,-0.9994,-0.0557,0.0358,-0.9978,0,-,-,-,-,-,-,-,-,,,,,,,
920,2364566.828,13:46:57:925,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.6444,3.5616,634.4917184816816,503.7052920857226,729.3733456056957,568.9347043015358,White Space,-,0.0375,0.008,-0.9993,-0.0496,0.0211,-0.9985,0,-,-,-,-,-,-,-,-,,,,,,,
924,2364633.605,13:46:57:992,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.6213,3.5455,539.835201894877,452.3020325376313,729.396839727607,566.6873087227327,White Space,-,0.0548,0.0006,-0.9985,-0.0695,0.0138,-0.9975,0,-,-,-,-,-,-,-,-,,,,,,,
928,2364700.381,13:46:58:059,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.6354,3.5423,468.8477166183989,413.7477149817575,732.5971688825728,563.6429372199558,White Space,-,0.0301,0.0272,-0.9992,-0.0656,0.0364,-0.9972,0,-,-,-,-,-,-,-,-,,,,,,,
932,2364767.157,13:46:58:125,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.6548,3.562,415.6058518048651,384.80671700839423,725.155001183513,562.4595562254857,White Space,-,0.0172,0.0277,-0.9995,-0.0599,0.027,-0.9978,0,-,-,-,-,-,-,-,-,,,,,,,
936,2364833.932,13:46:58:192,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.7194,3.5763,502.0201666757398,431.8911411402049,718.1536900745247,560.8518496058673,-,-,0.0388,0.0405,-0.9984,-0.0764,0.0313,-0.9966,0,-,-,-,-,-,-,-,-,,,,,,,
940,2364900.707,13:46:58:259,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.7893,3.579,555.106206909506,467.3381729078244,722.4906308750988,564.1835885971179,-,-,0.0352,0.0348,-0.9988,-0.0646,0.027,-0.9975,0,-,-,-,-,-,-,-,-,,,,,,,
944,2364967.482,13:46:58:326,Trial001,1 coucou D.png,26,Cyan,53.5724,Eye,1,1,3.7782,3.5685,480.39100451330944,425.03538566078976,723.5085029340468,564.29550711983,White Space,-,0.0268,0.0199,-0.9994,-0.0493,0.0148,-0.9987,0,-,-,-,-,-,-,-,-,,,,,,,
