Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular,groupe d'enfants
33717,363529.078,14:27:20:393,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,256.11094879834394,293.8052191974253,256.11094879834394,293.5550565656924,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33721,363595.908,14:27:20:460,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,256.11564379252843,293.79546338737754,256.11564379252843,293.5453007556446,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33725,363662.738,14:27:20:526,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,256.0840619473015,293.82007227259265,256.0840619473015,293.56990964085975,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33729,363729.569,14:27:20:593,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,256.03773414241823,293.8413506566468,256.03773414241823,293.59118802491383,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33733,363796.399,14:27:20:660,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,256.0004094229906,293.87490981255803,256.0004094229906,293.62474718082507,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33737,363863.23,14:27:20:727,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,256.0129296478265,293.86963355627046,256.0129296478265,293.61947092453755,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33741,363930.06,14:27:20:794,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,293.87858587111515,0.0,293.62842323938224,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33745,363996.89,14:27:20:861,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,293.87546383730665,0.0,293.62530120557375,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33749,364097.136,14:27:20:961,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,293.89847255078854,0.0,293.64830991905563,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33753,364163.966,14:27:21:028,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,293.9336089441201,0.0,293.68344631238716,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33757,364230.796,14:27:21:095,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,293.9554981099019,0.0,293.70533547816893,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33761,364297.627,14:27:21:161,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,293.99494571221027,0.0,293.74478308047736,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33765,364364.457,14:27:21:228,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,294.03028816960364,0.0,293.7801255378707,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33769,364431.288,14:27:21:295,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,294.0605556760141,0.0,293.81039304428117,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33773,364498.118,14:27:21:362,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,294.09120682236016,0.0,293.8410441906272,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33777,364564.948,14:27:21:429,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,294.13458326071674,0.0,293.8844206289838,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33781,364631.779,14:27:21:496,Trial019,Eye Tracking (ballon droite).avi,29,DarkOliveGreen,10.2295,Eye,11,11,,,0.0,294.13755007502004,0.0,293.8873874432871,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
