Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular,groupe d'enfants
78434,1153685.631,12:07:24:635,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Information,1,1,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23d4c4c9d202d05be1c4bb598d20e84d.avi,-,-,-,-,-,-,
78438,1153748.978,12:07:24:698,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,1,1,,,748.3560562264423,345.55348865599166,763.2371535190624,377.8070936212373,-,-,0.2032,0.3957,-0.8956,0.175,0.391,-0.9036,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78442,1153815.76,12:07:24:765,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,1,1,,,748.4588196857993,348.22040535982956,760.6708359943812,376.90854942853053,-,-,0.2093,0.3919,-0.8959,0.1395,0.4009,-0.9055,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78446,1153882.543,12:07:24:832,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,1,1,,,748.9230639256862,352.38827272350125,763.2198900518038,372.2402673070747,-,-,0.1996,0.3936,-0.8974,0.1451,0.4081,-0.9013,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78450,1153949.317,12:07:24:899,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,1,1,,,742.4645529697724,353.0895288375084,765.7788889375171,371.4019356947808,-,-,0.1917,0.3891,-0.901,0.1476,0.4009,-0.9041,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78454,1154016.089,12:07:24:965,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,2,2,,,714.8837916894037,358.0485269852915,638.39817647707,350.035409038553,-,-,0.0996,0.3646,-0.9258,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78458,1154082.861,12:07:25:032,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,2,2,,,692.8952332960853,363.18110662090436,636.6271990575575,360.7138509803254,-,-,0.0906,0.3571,-0.9297,0.0638,0.3678,-0.9277,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78462,1154149.635,12:07:25:099,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,2,2,,,675.1907805994955,371.137527662251,632.016734180697,370.1915427733265,-,-,0.086,0.3513,-0.9323,0.0569,0.3545,-0.9333,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78466,1154216.413,12:07:25:166,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,2,,,664.9478376573146,374.337558096371,630.174659399744,377.07236845721286,-,-,0.1054,0.3376,-0.9354,0.0615,0.3458,-0.9363,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78470,1154283.19,12:07:25:233,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,3,,,655.005021670802,373.68193228910945,635.6740731786953,388.91412227557043,-,-,0.0984,0.3419,-0.9346,0.0766,0.3316,-0.9403,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78474,1154349.968,12:07:25:299,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,3,,,646.2953055516982,374.99654101235217,646.1646692932034,394.83605882112124,-,-,0.1009,0.3502,-0.9312,0.0863,0.3284,-0.9406,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78478,1154416.745,12:07:25:366,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,3,,,629.2075267289996,379.14584869127896,646.224206420697,395.2327776574919,-,-,0.1029,0.3411,-0.9344,0.09,0.3324,-0.9388,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78482,1154483.523,12:07:25:433,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,4,,,638.7127193387548,378.9638030822114,548.8014379833262,367.82228632704937,-,-,0.0999,0.346,-0.9329,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78486,1154550.3,12:07:25:500,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,4,,,633.3908766334,377.4593606786329,579.0398310149371,385.14901533830266,-,-,0.1067,0.3454,-0.9324,0.0975,0.3249,-0.9407,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78490,1154617.078,12:07:25:566,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,4,,,624.9542035087677,380.8098628873868,605.9749812931925,397.328551558734,-,-,0.1117,0.34,-0.9338,0.0901,0.3266,-0.9408,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78494,1154683.855,12:07:25:633,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,4,,,628.1236216277318,382.2988552221835,622.3412909739536,406.8993351186791,-,-,0.1059,0.3449,-0.9326,0.0963,0.329,-0.9394,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78498,1154750.63,12:07:25:700,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,4,,,627.7245798454676,381.620450897278,642.6824188899992,410.7082278525004,-,-,0.1114,0.3406,-0.9336,0.0942,0.3249,-0.941,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78502,1154817.394,12:07:25:767,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,4,,,632.2660041699247,386.43541155751416,647.7341103489322,416.1372524061401,-,-,0.1049,0.3375,-0.9355,0.0878,0.3182,-0.9439,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78506,1154884.159,12:07:25:834,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,-,,,634.25173339848,385.2002995906789,648.8364111142226,418.41440748242957,-,-,0.109,0.3314,-0.9372,0.105,0.288,-0.9519,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78510,1154950.924,12:07:25:900,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,3,1,,,639.3508835405387,389.61962464218414,550.7923074677794,385.118801168429,-,-,0.1099,0.3322,-0.9368,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78514,1155017.688,12:07:25:967,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,1,1,,,543.7138067240169,362.9345543951121,477.2948746694475,360.1600653783734,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78518,1155084.453,12:07:26:034,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,4,5,,,646.6153856309056,385.88534413908417,598.2387340150068,396.28647872961903,-,-,0.3216,0.2393,-0.9161,0.2909,0.2126,-0.9328,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78522,1155151.217,12:07:26:101,Trial022,vole triste vs joie1.avi,30,DimGray,95.9388,Eye,4,5,,,718.6740514197907,397.08366601708747,686.0268558117194,420.2615334709973,-,-,0.3084,0.2547,-0.9165,0.2778,0.2184,-0.9355,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
