Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
97464,3129247.613,15:58:43:347,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,608.6018046080055,315.46680769829663,627.9708999506879,378.259864724227,-,-,-0.0394,0.3774,-0.9252,-0.0895,0.3993,-0.9125,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97468,3129314.328,15:58:43:414,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,614.3899605447024,360.31631177374385,626.7488225698266,356.05198690276654,-,-,-0.0346,0.3769,-0.9256,-0.0887,0.4085,-0.9085,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97472,3129381.042,15:58:43:480,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,613.9899152812528,386.58762071941544,626.8214993305601,432.43508350813795,-,-,-0.0347,0.375,-0.9264,-0.0898,0.412,-0.9068,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97476,3129447.757,15:58:43:547,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,614.1946826573868,326.73743933151314,629.6527000295382,361.7358467370562,-,-,-0.0351,0.3795,-0.9245,-0.0932,0.4053,-0.9094,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97480,3129514.472,15:58:43:614,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,614.393754727535,388.8499679460499,628.3373260415696,412.5286717202655,-,-,-0.0337,0.3711,-0.928,-0.083,0.3982,-0.9135,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97484,3129581.225,15:58:43:680,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,622.2459457617567,359.9291946292014,641.4365549019933,377.5894807731477,-,-,-0.0292,0.3795,-0.9247,-0.0813,0.4077,-0.9095,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97488,3129647.992,15:58:43:747,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,625.5596279365799,287.4066254542745,643.3423913490257,341.77873217906534,-,-,-0.0307,0.3835,-0.923,-0.0862,0.4078,-0.909,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97492,3129714.758,15:58:43:814,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,619.2321705571121,371.79351186556926,637.9560162158866,318.1284261366883,-,-,-0.0278,0.3817,-0.9239,-0.0914,0.4083,-0.9082,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97496,3129781.525,15:58:43:881,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,621.119511565048,338.93029190951694,627.5521947280268,370.19025658583325,-,-,-0.0296,0.3778,-0.9254,-0.0912,0.4027,-0.9108,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97500,3129848.291,15:58:43:948,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,626.1544689443328,364.7311118047669,633.5279700061787,373.84583632410465,-,-,-0.0277,0.3792,-0.9249,-0.0909,0.4018,-0.9112,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97504,3129915.057,15:58:44:014,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,627.4021499146155,306.7188489556832,631.8055284266935,360.78749267977963,-,-,-0.0461,0.3778,-0.9247,-0.1049,0.4026,-0.9093,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97508,3129981.814,15:58:44:081,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,626.6342690217335,356.1906181529125,628.6995038074633,393.2642480471452,-,-,-0.0494,0.3792,-0.924,-0.1065,0.4077,-0.9069,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97512,3130048.567,15:58:44:148,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,623.1792831514658,338.51711937743806,621.7504447277951,321.09725655248565,-,-,-0.0522,0.376,-0.9251,-0.1097,0.4015,-0.9093,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97516,3130115.32,15:58:44:215,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,9,9,,,618.2557050860527,335.67588615451945,621.7591104667785,300.1665785079994,-,-,-0.0549,0.3806,-0.9231,-0.1101,0.3945,-0.9123,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97520,3130182.073,15:58:44:281,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,10,10,,,614.5711089709237,383.80807033831985,626.3512375345229,332.20076246735874,-,-,-0.0598,0.3794,-0.9233,-0.1115,0.401,-0.9093,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97524,3130248.827,15:58:44:348,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,10,10,,,612.0324891244466,358.42740697758916,623.1876088195944,415.06397672687683,-,-,-0.0611,0.3776,-0.9239,-0.1138,0.3993,-0.9097,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97528,3130315.58,15:58:44:415,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,10,10,,,607.1079588970624,443.04667418891086,618.8046709634107,408.7005220577205,-,-,-0.0621,0.3742,-0.9253,-0.1109,0.4022,-0.9088,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97532,3130382.333,15:58:44:482,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,10,10,,,606.9610887492024,379.2440455602047,609.5255214437394,375.62532449597364,-,-,-0.0653,0.3751,-0.9247,-0.1122,0.4028,-0.9084,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97536,3130449.088,15:58:44:548,Trial019,Eye Tracking (ballon droite).avi,36,OliveDrab,97.9039,Eye,10,10,,,597.9213008764534,327.72774549448945,600.9708928056372,368.26490937109236,-,-,-0.0577,0.3791,-0.9236,-0.1119,0.4023,-0.9086,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
