feature,gini_importance,gini_std,perm_importance,perm_std
prop_left_visual_field,0.10638424886668392,0.009091348085214033,0.005418827548289133,0.0032483317388008717
std_fixation_duration_ms,0.09011985964285431,0.006836746018819669,0.0014396512944607337,0.0012543280183006098
prop_center_200px,0.06582466374033907,0.0064776042410563004,0.0006193177215560795,0.000776711435486864
avg_fixation_duration_ms,0.06474473641369775,0.0063815507140995206,0.0006823646206586346,0.000599559360727515
avg_dist_from_center,0.06351737123367922,0.005247508918411301,-0.0011542339491522847,0.0006889486199880147
convex_hull_area_px2,0.052445969101388656,0.006284824195883923,0.004824914728121016,0.0017099992035328432
gaze_mean_y,0.05219470647371681,0.0056493002617095745,0.00433300069113741,0.0013593050167811128
pct_time_fixating,0.04561466311321609,0.004366542765693589,0.0003228180481659108,0.0005639434890065177
gaze_std_x,0.045482409317927845,0.006025096574209087,0.0003994636360032625,0.0006170810591892185
gaze_path_length,0.040032977133299175,0.00644609545654047,0.000498032585146934,0.0005894795268004393
total_fixation_time_ms,0.03850970955424676,0.005248755854998538,0.00039020825469707307,0.0005885928085644307
avg_saccade_velocity,0.037614987912464565,0.006918928204569412,0.001953592104832291,0.0009889871555116597
saccade_rate,0.03413620534388982,0.0030743845000182793,0.0004577191086568072,0.0005958008898273624
tracking_ratio,0.033633728955662925,0.007066762191441378,2.6749258449191845e-05,0.0007239008467537885
gaze_std_y,0.028810586395008653,0.004323577901828354,0.0015575410675229434,0.0008046439437372879
std_saccade_amplitude,0.028441593078825926,0.0035925187204530113,0.001265677702459335,0.0006800616037962137
scanpath_entropy_2d,0.02702559769222893,0.0031697465518305923,0.001009543211600101,0.0007562322562639071
avg_fixation_dispersion,0.025971979347971897,0.0036664748192501606,0.0003365718550231627,0.0006172835307416809
avg_saccade_amplitude,0.02401522459936834,0.004091405536767961,0.000381366521717407,0.0006304271663585754
avg_inter_fixation_dist,0.02328461243752537,0.003883496417775197,0.0004484292566567333,0.0006021723611911103
saccade_count,0.022367399135733892,0.005303872393509074,0.0006777455476790154,0.0006032587846528007
max_saccade_velocity,0.020604270044379758,0.002945390312234992,0.0006596311980462159,0.00063154036571692
fixation_rate,0.014959342988970534,0.0019162144023190228,0.0003723007292275383,0.0005502276111401128
fixation_count,0.014263157476919789,0.0022572494308484765,0.00036344176090093465,0.0005111579886827656
